First Name,Last Name,URL,Email Address,Company,Position,Connected On
James,Mitchell,,,Barclays,Managing Director,15 Mar 2022
Sarah,Chen,,,Goldman Sachs,VP Technology,03 Jun 2023
Raj,Patel,,,BlackRock,Director Strategy,22 Jan 2021
Emily,Turner,,,JP Morgan,Director BD,11 Aug 2023
Michael,Forbes,,,Citadel,Partner,30 Nov 2020
Anna,Williams,,,Two Sigma,VP Engineering,14 Feb 2024
David,Kim,,,Bridgewater,Senior Analyst,07 Sep 2022
Sophie,Laurent,,,Barclays,CIO,19 Apr 2021
Thomas,Anderson,,,JP Morgan,CTO,16 Mar 2024
Lisa,Morgan,,,Citadel,VP Quant Research,22 Oct 2021
Chris,O'Brien,,,Two Sigma,Partner,08 Jan 2023
Yuki,Tanaka,,,Bridgewater,Director Strategy,30 May 2022
Marcus,Brown,,,Deutsche Bank,Managing Director,12 Aug 2021
Elena,Volkov,,,Credit Suisse,VP Sales,27 Nov 2023
Ahmed,Hassan,,,Barclays,Senior VP Trading,03 Feb 2024
Diana,Ross,,,Goldman Sachs,Director Operations,18 Sep 2022
Oscar,Reyes,,,Citadel,CIO,14 Dec 2020
Hannah,Scott,,,Two Sigma,Director Engineering,21 Jul 2024
Ian,Campbell,,,Bridgewater,VP Research,06 Mar 2022
Julia,Fischer,,,Deutsche Bank,CTO,17 Oct 2023
