First Name,Last Name,URL,Email Address,Company,Position,Connected On
James,Mitchell,,,Barclays,Managing Director,15 Mar 2022
Sarah,Chen,,,Goldman Sachs,VP Technology,03 Jun 2023
Raj,Patel,,,BlackRock,Director Strategy,22 Jan 2021
Emily,Turner,,,JP Morgan,Director BD,11 Aug 2023
Michael,Forbes,,,Citadel,Partner,30 Nov 2020
Anna,Williams,,,Two Sigma,VP Engineering,14 Feb 2024
David,Kim,,,Bridgewater,Senior Analyst,07 Sep 2022
Sophie,Laurent,,,Barclays,CIO,19 Apr 2021
Robert,Zhang,,,Goldman Sachs,Managing Director,28 Jul 2023
Priya,Sharma,,,BlackRock,Director Risk,05 Dec 2022
Kevin,Walsh,,,BlackRock,VP Portfolio Mgmt,25 Jun 2021
Nina,Petrov,,,JP Morgan,Partner,09 Apr 2023
Sam,Butler,,,Goldman Sachs,Partner,23 Aug 2021
Victoria,Adams,,,BlackRock,Managing Director,04 Nov 2023
Nikolai,Ivanov,,,JP Morgan,VP Quant Trading,16 Feb 2022
Claire,Dubois,,,Citadel,Director BD,08 Jul 2023
Liam,Murphy,,,Credit Suisse,Senior Analyst,29 Jan 2022
Maya,Gupta,,,Barclays,VP Technology,11 May 2024
Oliver,Stone,,,Citadel,Head of Risk,02 Apr 2023
Rachel,Green,,,Two Sigma,VP Data Science,19 Jan 2024
