First Name,Last Name,URL,Email Address,Company,Position,Connected On
James,Mitchell,,,Barclays,Managing Director,15 Mar 2022
Sarah,Chen,,,Goldman Sachs,VP Technology,03 Jun 2023
Raj,Patel,,,BlackRock,Director Strategy,22 Jan 2021
Emily,Turner,,,JP Morgan,Director BD,11 Aug 2023
Michael,Forbes,,,Citadel,Partner,30 Nov 2020
Anna,Williams,,,Two Sigma,VP Engineering,14 Feb 2024
David,Kim,,,Bridgewater,Senior Analyst,07 Sep 2022
Sophie,Laurent,,,Barclays,CIO,19 Apr 2021
Felix,Brandt,,,Bridgewater,Portfolio Manager,10 Nov 2023
Zoe,Martinez,,,Goldman Sachs,Associate,05 Feb 2024
Ethan,Park,,,JP Morgan,VP Markets,14 Jun 2022
Quinn,Sullivan,,,BlackRock,Product Lead,08 Sep 2023
Tara,Singh,,,Citadel,Quant Researcher,21 Mar 2024
Ben,Cole,,,Two Sigma,Engineering Manager,30 Aug 2022
Grace,Lin,,,Barclays,Director Compliance,12 Dec 2023
Noah,Webb,,,Deutsche Bank,VP Trading,07 Jan 2024
Ivy,Nguyen,,,Credit Suisse,Analyst,25 Apr 2023
Paul,Kraft,,,Goldman Sachs,Strategist,18 Oct 2022
Sofia,Reyes,,,JP Morgan,Associate,03 May 2023
Derek,Hughes,,,Citadel,Trader,29 Nov 2023
